Word	Gender	Person	Tense	Number	Mood	syntax	VerbForm	Case	PronType	Foreign
abbauen	0.0	0.0	0.0009438416449404352	0.017429754302932365	0.0	0.012750735918209744	0.006275479451987809	0.0	0.0	0.0
abdecken	0.17221188663900122	0.0	0.00976796076951636	0.013502125260154485	0.0	0.007322895158205389	0.016648639936625242	0.11831798017675199	0.0	0.0
abgebrüht	0.13162373408148753	0.0	0.21064778262367367	0.0263235190660831	0.0	0.06665588732339	0.0	0.026001165728863018	0.0	0.0
Abgesang	0.0	0.0	0.0	0.0	0.0	0.17141579502395443	0.0	0.10016895875342913	0.0	0.0
Ackergerät	0.024113544587111457	0.0	0.0	0.004106793532296149	0.0	0.18812949925424227	0.0	0.024529933713871355	0.0	0.0
Armenhaus	0.0	0.0	0.0	0.026277795252310443	0.0	0.07045369845809979	0.0	0.09106703845222097	0.0	0.0
artikulieren	0.0	0.0	0.0571856141953635	0.08618845137974274	0.0	0.30542905206199	0.13934753289825896	0.0	0.0	0.0
aufrechterhalten	0.04029945241938404	0.0	0.005308206173448626	0.05239410490911178	0.0	0.041683282435272084	0.029608763341799516	0.010701472661770017	0.0	0.0
Ausnahmegesetz	0.005198195857539112	0.0	0.0	0.060556928621374295	0.0	0.07739198172247608	0.0	0.006125008309951774	0.0	0.0
ausspannen	0.0	0.0	0.0	0.0	0.0	0.16118029955438062	0.0	0.0	0.0	0.0
beimischen	0.12661270987606	0.0	0.2191311905569696	0.0010492408191247193	0.0	0.31520924862771127	0.23995811209279005	0.004917901354101306	0.0	0.0
Dynamik	0.0	0.0	0.0	0.0	0.0	0.2094840966855357	0.0	0.13063739124195417	0.0	0.0
Einreichung	0.0	0.0	0.0	0.0	0.0	0.09722319261067103	0.0	0.11280469115458969	0.0	0.0
Eintagsfliege	0.19141273279087034	0.0	0.0	0.30992466642716043	0.0	0.500141663127932	0.0	0.4356811826725202	0.0	0.0
Engpaß	0.06600570506648074	0.0	0.0	0.01770201228492596	0.0	0.31019614115378114	0.0	0.06614209486651612	0.0	0.0
Entscheidung	0.0	0.0	0.0	0.03981533347198951	0.0	0.010825547399963553	0.0	0.013836378540960759	0.0	0.0
Festspiel	0.0	0.0	0.0	0.04279146585152771	0.0	0.13200945937117325	0.0	0.19067622184982058	0.0	0.0
Frechheit	0.0	0.0	0.0	0.0	0.0	0.026381390231124846	0.0	0.014184907438813066	0.0	0.0
Fuß	0.02527032733555279	0.0	0.0	0.005363324083291543	0.0	0.06805702947349213	0.0	0.06534704549933867	0.0	0.0
Gesichtsausdruck	0.0	0.0	0.0	0.0	0.0	0.1186988802956962	0.0	0.06984285916148492	0.0	0.0
Knotenpunkt	0.0	0.0	0.0	0.0749908489629092	0.0	0.036533730360905015	0.0	0.12873686802317297	0.0	0.0
Kubikmeter	0.0	0.0	0.0	0.0027152367216398687	0.0	0.04565769721051527	0.0	0.10802557767166843	0.0	0.0
