Word	Tense	Aspect	Degree	Gender	Foreign	Person	Animacy	Case	Variant	Number	Voice	syntax	Mood	VerbForm
авторитет	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017596275814829143	0.0	0.00021072302170022095	0.0	0.030433811338250072	0.0	0.0
амбиция	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1012021309276957	0.0	0.8650934587486107	0.0	0.04224967259856993	0.0	0.0
апостол	0.0	0.0	0.0	0.0	0.0	0.0	0.007149228139525121	0.006156293367629462	0.0	0.004573264708878755	0.0	0.02181216210134085	0.0	0.0
благодарность	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01216440036232902	0.0	0.0	0.0	0.01101529199265816	0.0	0.0
блин	0.0	0.0	0.0	0.011402924921238511	0.0	0.0	7.242182160793753e-05	0.13275470904397968	0.0	0.25749901162436206	0.0	0.15195064566582328	0.0	0.0
блондин	0.0	0.0	0.0	0.0	0.0	0.0	0.004190047966172283	0.004362041871953548	0.0	0.0020006816226121327	0.0	0.11885374072039745	0.0	0.0
брат	0.10053309739948524	0.0072267796802476525	0.0	0.0	0.0	0.06666130417670924	5.9157506436591234e-05	0.0020368897962362853	0.0	0.017247041736156654	0.1317568578755407	0.011213414435616187	0.0	0.1317568578755407
бригада	0.0	0.0	0.0	8.696783905270955e-05	0.0	0.0	0.0	0.004409470749053956	0.0	0.009602168438210157	0.0	0.057368413014596276	0.0	0.0
веер	0.0	0.0	0.0	0.0	0.0	0.0	3.820136140320063e-05	0.007362728160980381	0.0	0.0022534960713646024	0.0	0.010623749428252172	0.0	0.0
век	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03807368523352561	0.0	0.017292168534097874	0.0	0.028765483604679454	0.0	0.003902687025138518
вызов	0.0	0.0	0.0	0.0	0.0	0.2928932188134524	0.0	0.023874760178952403	0.0	0.01276016613905162	0.0	0.019087978224517355	0.0	0.0
головка	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03139232633825073	0.0	0.0024556350481310663	0.0	0.048294221074209776	0.0	0.0
грех	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015948952933161342	0.0	0.0018825982673611463	0.0	0.004110893244743119	0.0	0.0
дух	0.0	0.0	0.0	0.0	0.0	0.0	0.0012037690635393616	0.035454740037469734	0.0	0.005569684743099046	0.0	0.007122390573843007	0.0	0.0
дядька	0.0	0.0	0.0	0.02353011770198432	0.0	0.0	0.009056848275641571	0.030050084332207128	0.0	7.30907836110628e-06	0.0	0.07236928241795704	0.0	0.0
дядя	0.0012119344723710013	0.0032489112572169354	0.0	0.0006380889182651117	0.0	0.06312281149874	0.00038610254799165133	0.00674242226119337	0.0	0.0	0.0	0.009816240317915725	0.008376371619344791	0.0018982175047580485
железо	0.0	0.0	0.0	0.00043863916357522736	0.0	0.0	0.0	0.03275370191721094	0.0	0.0	0.0	0.02448608507721628	0.0	0.0
жесть	0.0	0.1425070742874559	0.0	0.0	0.0	0.0	0.0	0.02810869079682632	0.0	0.0	0.0	0.018436704376468827	0.0	0.0
живот	0.0	0.0	0.0	0.0020978776088782514	0.0	0.0	0.0014013181181853351	0.015377251131735048	0.0	0.0031346500469279226	0.0	0.013905865962302144	0.0	0.0
заблуждение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07239523038215778	0.0	0.022837933984579784	0.0	0.013327055671795707	0.0	0.0
издательство	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04530596306218637	0.0	0.0075150354338090475	0.0	0.008794126282436365	0.0	0.0
итальянец	0.0	0.0	0.0	0.0	0.0	0.0	5.842601228378541e-07	0.0021631759322553457	0.0	0.0034997451127832813	0.0	0.0058204077990958725	0.0	0.0
кабан	0.0	0.0	0.0	0.0	0.0	0.0	0.0008621637544411476	0.0040604868312027476	0.0	0.05555314208187456	0.0	0.023187085311954903	0.0	0.0
карман	0.0	0.0	0.0	0.00014700642919207585	0.0	0.0	0.0	0.006535396468343557	0.0	0.0012816080118750461	0.0	1.7044129394072627e-05	0.0	0.0
крушение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04537956261457421	0.0	4.908036555406614e-05	0.0	0.09740043657061104	0.0	0.0
крыша	0.0001394402352861146	0.0001394402352861146	0.0	0.00020868751855340761	0.0	0.0	6.128865374177561e-05	0.0043029894182623485	0.0	0.01548311735738217	0.0	0.006068393787543536	0.0	0.009067911819861663
кулиса	0.0	0.0	0.0	0.04217371477884868	0.0	0.0	0.0	0.01941932430907989	0.0	0.0	0.0	0.021334399405824822	0.0	0.0
лечение	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002976720522519627	0.0	0.0	0.0	0.009840965205101915	0.0	0.0
