Word	Aspect	Animacy	Person	Variant	Polarity	Foreign	Number	Mood	Degree	Voice	Gender	syntax	VerbForm	Case	Tense
авторитет	0.0	0.0	0.0	0.0	0.0	0.0	0.00259452703548102	0.0	0.0	0.0	0.0	0.008274669610707441	0.0	0.007317247614613276	0.0
амбиция	0.0	0.0	0.0	0.0	0.0	0.0	0.29708945956158117	0.0	0.0	0.0	0.0	0.02560753020693607	0.0	0.03127818509935276	0.0
апостол	0.0	0.009233404472506979	0.0	0.0	0.0	0.0	0.004410955775579484	0.0	0.0	0.0	0.0	0.015729810875894534	0.0	0.0077349391673826595	0.0
благодарность	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004263524250409545	0.0	0.00188172438839862	0.0
блин	0.0	3.795901840708549e-05	0.0	0.0	0.0	0.0	0.1736189783929447	0.0	0.0	0.0	0.010965601894893373	0.18732329593820585	0.0	0.1125712259466306	0.0
блондин	0.0	0.007722123286332261	0.0	0.0	0.0	0.0	0.0022561645319525425	0.0	0.0	0.0	0.0	0.033506038418916084	0.0	0.00517890051199188	0.0
брат	0.0	7.759160653553199e-05	0.18350341907227397	0.0	0.0	0.0	0.0023759069857771653	0.0	0.0	0.04037145611478643	0.0	0.0021294799634486994	0.04037145611478643	0.0008568748427916217	0.04037145611478643
бригада	0.0	0.0	0.0	0.0	0.0	0.0	8.319222273289739e-07	0.0	0.0	0.0	0.0001625006687685504	0.001885378826521733	0.0	0.002806588285526712	0.0
веер	0.0	3.2636714802913858e-06	0.0	0.0	0.0	0.0	0.0006012625911471225	0.0	0.0	0.0	0.0	0.0048479435416806105	0.0	0.005202498870172656	0.0
век	0.0	0.0	0.0	0.0	0.0	0.0	0.005215137484979704	0.0	0.0	0.0	0.0	0.005250322953201381	0.4491577916692614	0.006131247355223524	0.0
вызов	0.0	0.0	0.0061162653263812095	0.0	0.0	0.0	0.016600082627103552	0.0	0.0	0.0	0.0	0.014792470256617674	0.0	0.010388988727259463	0.0
головка	0.0	0.0	0.0	0.0	0.0	0.0	0.000603531178156258	0.0	0.0	0.0	0.0	0.016402066070756338	0.0	0.012702205814620338	0.0
грех	0.0	0.0	0.0	0.0	0.0	0.0	0.0016323050922506521	0.0	0.0	0.0	0.0	0.002178964940535044	0.0	0.0002937123974028344	0.0
дух	0.0	9.862576513253174e-07	0.0	0.0	0.0	0.0	0.0032174561562593462	0.0	0.0	0.0	0.0	0.0012309613274917863	0.0	0.010340283781903548	0.0
дядька	0.0	0.00025405217557072923	0.0	0.0	0.0	0.0	3.8247574512095817e-05	0.0	0.0	0.0	0.004041618792221091	0.0017671713162069613	0.0	0.0007070696189542813	0.0
дядя	3.1904812496375e-05	2.1850410915291718e-05	0.0015208563143471743	0.0	0.0	0.0	0.0	0.0015208563143471743	0.0	0.0	0.0	0.0012056327996027294	0.0007110085488354345	0.0007731004968082322	0.0006612767491700478
железо	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8218791092715634e-06	0.005469483890026328	0.0	0.0048343207589298665	0.0
жесть	0.41450944615564156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0194850675156788	0.0	0.012198403443741457	0.0
