Word	Gender	Poss	Foreign	Mood	Tense	syntax	Person	PronType	VerbForm	Number	NumType
egemonizzare	0.06665439379694049	0.0	0.0	0.0	1.0292094796415796e-06	0.11062674804733297	0.013606076167856251	0.0	0.10361575520375155	0.003454241755120435	0.0
lucciola	0.0	0.0	0.0	0.0	0.0	0.29289321881345254	0.0	0.0	0.0	0.5527864045000421	0.0
campanello	0.0	0.0	0.0	0.0	0.0	0.07770904415338353	0.0	0.0	0.0	0.000200163849754742	0.0
trasferibile	0.0	0.0	0.0	0.0	0.0	0.005816904460975936	0.0	0.0	0.0	0.050242957837094315	0.0
brama	0.0	0.0	0.0	0.0	0.0	0.09483713160403584	0.0	0.0	0.0	0.0003513413820078748	0.0
polisportiva	0.0	0.0	0.0	0.0	0.0	0.015028078859473992	0.0	0.0	0.0	0.029857499854668013	0.0
palmare	0.0	0.0	0.0	0.0	0.019419324309079777	0.27533040277239107	0.0	0.0	0.002351680639960274	0.004552247764479378	0.0
processare	0.00028686371132014	0.0	0.0	0.0	0.0	0.021922499288012487	0.00018021084815389443	0.0	0.0005843587961430474	3.343291361979084e-05	0.0
pilotato	0.0013123365234114504	0.0	0.0	0.0	0.0	0.028335276660836684	0.0	0.0	0.0	0.047704011849828865	0.0
cappuccio	0.0	0.0	0.0	0.0	0.0	0.12068700263278342	0.0	0.0	0.0	0.11680450358331473	0.0
pacchetto	0.0	0.0	0.0	0.16794970566215628	0.0061162653263812095	0.0012891882623848883	0.16794970566215628	0.0	0.0061162653263812095	0.01286801410040228	0.0
ape	0.0015041960995192394	0.0	0.0	0.0	0.0	0.014208605616335857	0.0	0.0	0.0	0.004465776451701209	0.0
unico	0.0003623028114658755	0.0	0.0	0.10557280900008414	0.0	0.00023624014526313353	0.1993592309745642	0.0	0.0	0.0002129605035152693	0.0
discriminatorio	0.0008743140864586607	0.0	0.0	0.0	0.0	0.006467327343595897	0.0	0.0	0.0	0.00028117529718463263	0.0
rampante	0.0	0.0	0.0	0.0	0.0	0.0012656434667026595	0.0	0.0	0.0	0.0	0.0
campionato	0.0	0.0	0.0	0.0	0.0	0.0012368000254476819	0.0	0.0	0.0	0.013006568012203013	0.0
tac	0.0	0.0	0.0	0.0	0.0	0.23559161736765577	0.0	0.0	0.0	0.2191311905569696	0.0
piovra	0.0	0.0	0.0	0.0	0.0	0.07312842902001304	0.0	0.0	0.0	0.016717995015539944	0.0
