Fuß	0
vergönnen	0
Manschette	0
Rezeption	1
Spielball	1
Ohrwurm	1
Gesichtsausdruck	1
Naturschönheit	1
Engpaß	1
Armenhaus	0
beimischen	1
Sensation	0
artikulieren	1
vorweisen	0
Kubikmeter	0
Lyzeum	1
Mulatte	0
Eintagsfliege	1
weitgreifend	0
Tier	0
Truppenteil	0
Tragfähigkeit	0
Ausnahmegesetz	0
zersetzen	0
Festspiel	0
Unentschlossenheit	0
Knotenpunkt	0
Dynamik	0
Abgesang	0
Seminar	0
vorliegen	0
Einreichung	0
Ackergerät	0
abgebrüht	0
Schmiere	0
Titel	0
Mißklang	0
Frechheit	0
verbauen	0
packen	0
aufrechterhalten	0
überspannen	0
voranstellen	0
abbauen	0
abdecken	0
Entscheidung	0
ausspannen	0
Pachtzins	0
